Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
546,Tony Sparano,4,2008-2011,61,29,32,0,.475,-3,1,1,0,1,.000,2.5,1,0,0,0
547,Mac Speedie,3,1964-1966,26,6,19,1,.240,-13,0,0,0,0,,4.0,4,0,0,0
548,Steve Spurrier,2,2002-2003,32,12,20,0,.375,-8,0,0,0,0,,3.0,3,0,0,0
549,Gene Stallings,4,1986-1989,58,23,34,1,.404,-11,0,0,0,0,,3.5,2,0,0,0
550,Dick Stanfel,1,1980,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,0,0,0
551,Jim Stanley,1,1986,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
552,Bart Starr+,9,1975-1983,131,52,76,3,.406,-24,1,2,1,1,.500,2.8,1,0,0,0
553,Les Steckel,5,1984-2000,16,3,13,0,.188,-10,0,0,0,0,,2.8,2,0,0,0
554,Kay Stephenson,3,1983-1985,36,10,26,0,.278,-16,0,0,0,0,,4.0,2,0,0,0
555,Joey Sternaman,1,1923,7,4,3,0,.571,1,0,0,0,0,,7.0,7,0,0,0
556,Gary Stevens,9,1989-1997,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
557,Mal Stevens,1,1946,7,2,4,1,.333,-2,0,0,0,0,,2.0,2,0,0,0
558,Brian Stewart,2,2007-2008,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
559,Pete Stinchcomb,1,1923,7,3,4,0,.429,-1,0,0,0,0,,8.0,8,0,0,0
560,Carl Storck,5,1922-1926,38,8,26,4,.235,-18,0,0,0,0,,13.6,7,0,0,0
561,Red Strader,5,1948-1955,58,25,31,2,.446,-6,1,1,0,1,.000,3.8,2,0,0,0
562,Hank Stram,17,1960-1977,238,131,97,10,.575,34,5,8,5,3,.625,2.1,1,2,1,2
563,Eric Studesville,1,2010,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,0,0,0
564,Chuck Studley,8,1979-1986,10,2,8,0,.200,-6,0,0,0,0,,2.7,1,0,0,0
565,Joe Stydahar+,5,1950-1954,49,20,28,1,.417,-8,2,3,2,1,.667,3.0,1,1,0,0
566,Jerry Sullivan,1,2003,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
567,Jock Sutherland,4,1940-1947,45,28,16,1,.636,12,1,1,0,1,.000,2.0,1,0,0,0
568,Bob Sutton,3,2006-2008,0,0,0,0,,0,0,0,0,0,,2.7,2,0,0,0
569,Harland Svare,8,1962-1973,74,21,48,5,.304,-27,0,0,0,0,,4.8,2,0,0,0
570,Barry Switzer,4,1994-1997,64,40,24,0,.625,16,3,7,5,2,.714,1.8,1,1,1,1
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
571,Nelson Talbot,2,1920-1921,18,9,6,3,.600,3,0,0,0,0,,7.0,6,0,0,0
572,Hugh Taylor,1,1965,14,4,10,0,.286,-6,0,0,0,0,,4.0,4,0,0,0
573,Gus Tebell,1,1923,3,2,0,1,1.000,2,0,0,0,0,,8.0,8,0,0,0
